,БЮ,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,Reason code,ТГ,НГ,Поставщик,Наименование,"Физические 
запасы",Продано,"Зарезерви
ровано",Доступно
0,825,011_825,011_825-01-01-0,80272961,Стол для гостиной 316,"Письменный стол OSKAR, дуб Санремо",001 Товар на реализа,33,316,80001146,"ООО ""АНРЭКС""",1,,1.0,
1,825,011_825,011_825-01-01-0,80415257,стол дерево,"Стол обеденный MONE, камень чёрный/чёрный",001 Товар на реализа,40,092,80003288,"ООО ""КЕННЕР""",1,,1.0,
2,825,011_825,011_825-01-01-1,80272956,Шкаф навесной со стеклом,"Полка OSKAR 1V, дуб Санремо",001 Товар на реализа,33,315,80001146,"ООО ""АНРЭКС""",1,,1.0,
3,825,011_825,011_825-01-01-1,80286126,Тумба для обуви 083,"Тумба OSKAR 1D, дуб Санремо",001 Товар на реализа,38,083,80001146,"ООО ""АНРЭКС""",1,,1.0,
4,825,011_825,011_825-01-01-1,80388237,Комод 60-89 см,"Комод 800 Лофт, табачный крафт",001 Товар на реализа,35,085,80002304,"ООО ""Клинский Мебельный Комбинат""",1,,1.0,
5,825,011_825,011_825-01-01-1,80419748,Комод 190,"Комод с пятью ящиками Тайлер ПМ-298.07.00.000, белый глянец",001 Товар на реализа,31,190,80000944,"ООО ""Волгодонский комбинат древесных плит""",1,,1.0,
6,825,011_825,011_825-01-01-1,80501439,Туалетные столики,"Стол Риано-03 МСТ-ТСР-03-КТ-02, дуб крафт табак",001 Товар на реализа,35,218,80001008,"ООО ""4 А""",1,,1.0,
7,825,011_825,011_825-01-01-1,80509914,Стеллаж 002,"Стеллаж Слим НМ 68.06.00, белый",001 Товар на реализа,35,002,80001305,"ООО МО ""РОСТ""",1,,1.0,
8,825,011_825,011_825-01-01-2,80287191,Кресла груши,Кресло-мешок DreamBag Бонджорно XL Стандартное 1002,001 Товар на реализа,35,214,80002233,"ООО ""МВК""",3,,,3.0
9,825,011_825,011_825-01-01-2,80348214,Кресла груши,"Кресло-мешок DreamBag Ждун 2321621, серый",001 Товар на реализа,35,214,80002233,"ООО ""МВК""",1,,,1.0
10,825,011_825,011_825-01-01-2,80380942,Кресла груши,Кресло-мешок DreamBag Воздушные шары XL Стандартное 2314,001 Товар на реализа,35,214,80002233,"ООО ""МВК""",1,,,1.0
11,825,011_825,011_825-01-01-2,80394083,Кресла груши,"Кресло-мешок DreamBag L Малое 800008, коричневый",001 Товар на реализа,35,214,80002233,"ООО ""МВК""",4,,,4.0
12,825,011_825,011_825-01-01-2,80517328,Пуф 082,"Кресло DreamBag GAP 1222903, коричневый (Antonio)",001 Товар на реализа,35,082,80002233,"ООО ""МВК""",2,,,2.0
13,825,011_825,011_825-01-02-0,80309816,стул кожзам,"Стул с подлокотниками Amelia СРП-018К, коричневый (экотекс 3029)/зеркальный хром/орех",001 Товар на реализа,40,090,80002262,"ООО ""Гипер""",5,,,5.0
14,825,011_825,011_825-01-02-0,80326825,стул ткань,"Стул JERSEY TC-1883, зелёный (78)/чёрный",001 Товар на реализа,40,090,80003289,"TIANJIN DSK INTERNATIONAL CO.,LTD",1,,,1.0
15,825,011_825,011_825-01-02-0,80327782,барный стул,"Барный стул KARIS SKY-9019, серый (JJ12-33/611)/серый",001 Товар на реализа,40,099,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,1,,,1.0
16,825,011_825,011_825-01-02-0,80331749,барный стул,"Барный стул TOPMAX Smiley 26134, чёрный/хром",001 Товар на реализа,40,099,80002253,BESTLUCK ENTERPRISE LIMITED,1,,,1.0
