,БЮ,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,Reason code,ТГ,НГ,Поставщик,Наименование,"Физические 
запасы",Продано,"Зарезерви
ровано",Доступно
0,825,RDiff_825,RDiff_825-1,10574904,Послепродаж. обслуживание,Claim,Инвентарн разница,25,127,9000,SERVICES,2,,,2.0
1,825,RDiff_825,RDiff_825-1,50000185,Запасные части на продажу,Claim,Инвентарн разница,49,109,9000,SERVICES,1,,,1.0
2,825,RDiff_825,RDiff_825-1,80001393,ножи,"Нож кулинарный Tescoma HOME PROFI 880528,00, 14 см, чёрный",Инвентарн разница,22,138,80002548,"ООО ""Интес""",1,,,1.0
3,825,RDiff_825,RDiff_825-1,80007607,кружки,"Кружка ""Эфиопия поэзия"" CN1419, 350 мл, в асс.",Инвентарн разница,22,137,80000512,"ООО ""АТРИБУТ Вашего дома""",-2,,,-2.0
4,825,RDiff_825,RDiff_825-1,80011371,быт хим для стир бел,"Роллер пятновыводитель Dr.Beckmann, 75 мл",Инвентарн разница,28,101,80000055,"ООО ""ТК Чистый Дом""",1,,,1.0
5,825,RDiff_825,RDiff_825-1,80011901,Батарейки,"Батарейки DURACELL BASIC LR03-4BL, 4 шт.",Инвентарн разница,25,132,80001378,"ООО ""ВИП Маркет""",4,,,4.0
6,825,RDiff_825,RDiff_825-1,80017926,ножи,"Нож кухонный Atlantis 24408-SK, 12 см",Инвентарн разница,22,138,80002196,"ООО ""Вектра Хаусхолд""",1,,,1.0
7,825,RDiff_825,RDiff_825-1,80018247,Вазы настольные,"Ваза-цилиндр ""Трубка 200"" 2296, H30 см",Инвентарн разница,27,107,80000156,"АО ""Торговая компания ""Эвис""",-2,,,-2.0
8,825,RDiff_825,RDiff_825-1,80018248,Вазы настольные,"Ваза-цилиндр ""Трубка 200"" 2299, H60 см",Инвентарн разница,27,107,80000156,"АО ""Торговая компания ""Эвис""",-1,,,-1.0
9,825,RDiff_825,RDiff_825-1,80018252,Вазы настольные,"Ваза для роз ""Фестиво"" 2363, H30 см",Инвентарн разница,27,107,80000156,"АО ""Торговая компания ""Эвис""",3,,,3.0
10,825,RDiff_825,RDiff_825-1,80018262,Вазы настольные,"Ваза-подсвечник ""Цилиндр"" 2927, H23 см",Инвентарн разница,27,107,80000156,"АО ""Торговая компания ""Эвис""",4,,,4.0
11,825,RDiff_825,RDiff_825-1,80019862,Кресло ткань_226,"Кресло Престиж/Самба, чёрный (С-11)",Инвентарн разница,39,226,80002073,"ООО ""Балтийская мебельная фабрика""",-1,,,-1.0
12,825,RDiff_825,RDiff_825-1,80030103,Вазы настольные,"Декор. ваза-бокал ""Бренди"" 2072, 2 л",Инвентарн разница,27,107,80000156,"АО ""Торговая компания ""Эвис""",-1,,,-1.0
13,825,RDiff_825,RDiff_825-1,80030106,Вазы настольные,"Декор. ваза-бокал ""Бренди"" 2081, 5 л",Инвентарн разница,27,107,80000156,"АО ""Торговая компания ""Эвис""",-1,,,-1.0
14,825,RDiff_825,RDiff_825-1,80033760,наборы,"Набор фужеров Nachtmann Vivendi 85692, 474 мл, 4 шт.",Инвентарн разница,22,148,80000068,"ООО ""ДП-Трейд""",1,,,1.0
15,825,RDiff_825,RDiff_825-1,80054113,фурнитура 230,"Сушилка для посуды сетчатая, белый (для шкафа 60 см)",Инвентарн разница,32,230,80000252,"ООО ""Алмаз""",2,,,2.0
16,825,RDiff_825,RDiff_825-1,80054204,салфетки ПВХ,"Салфетка под посуду ASA selection 78052/076, 33х46 см, белый",Инвентарн разница,22,372,80000020,"ООО ""МАКСИ-СТАЙЛ""",-1,,,-1.0
17,825,RDiff_825,RDiff_825-1,80054206,салфетки ПВХ,"Салфетка под посуду ASA selection 78056/076, 33х46 см, серый",Инвентарн разница,22,372,80000020,"ООО ""МАКСИ-СТАЙЛ""",-1,,,-1.0
18,825,RDiff_825,RDiff_825-1,80054208,салфетки ПВХ,"Салфетка под посуду ASA selection 78054/076, 33х46 см, коричневый",Инвентарн разница,22,372,80000020,"ООО ""МАКСИ-СТАЙЛ""",1,,,1.0
19,825,RDiff_825,RDiff_825-1,80057252,"Декор. ветки, венки, шары","Иск. растение KOOPMAN C37253750, D18 см, зелёный",Инвентарн разница,27,166,80000498,"ООО ""Купман Интернэшнл РУС""",-1,,,-1.0
20,825,RDiff_825,RDiff_825-1,80060613,Одеяла евро,"Одеяло KARIGUZ Bio Cotton БХл21-7-3, 200х220 см",Инвентарн разница,11,007,80002321,"ООО ТД ""Пиллоу Хаус""",3,,,3.0
21,825,RDiff_825,RDiff_825-1,80063978,кухонные аксессуары прочие,"Мультибокс Borner CLASSIC 117/0, оранжевый",Инвентарн разница,22,145,80000537,"ООО ""Бёрнер Ист""",1,,,1.0
22,825,RDiff_825,RDiff_825-1,80066159,Напольные,"Вешалка напольная PALL CH-4013, чёрный/хром",Инвентарн разница,35,026,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,-1,,,-1.0
23,825,RDiff_825,RDiff_825-1,80066162,Напольные,"Вешалка напольная POWER CH-4217-SL, серебряный",Инвентарн разница,35,026,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,1,,,1.0
24,825,RDiff_825,RDiff_825-1,80066170,Напольные,"Вешалка напольная TITAN CH-4019-WT, белый",Инвентарн разница,35,026,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,3,,,3.0
25,825,RDiff_825,RDiff_825-1,80069063,тюль готовый,"Тюль Sanpa Аманда, белый (1585), 500х280 см, вуаль, лента",Инвентарн разница,21,036,80000987,"ООО ""Декотекс Трейд""",-2,,,-2.0
26,825,RDiff_825,RDiff_825-1,80069199,быт хим для стир бел,"Жидкое средство д/стирки Frosh Алоэ вера, 2 л, запасной блок",Инвентарн разница,28,101,80000055,"ООО ""ТК Чистый Дом""",1,,,1.0
27,825,RDiff_825,RDiff_825-1,80071765,шины в наборе,"Карниз 2-рядный УЮТ Оптима 157/О, 200 см, белый",Инвентарн разница,21,034,80002459,"АО ""УЮТ""",-15,,,-15.0
28,825,RDiff_825,RDiff_825-1,80071767,шины в наборе,"Карниз 2-рядный составной УЮТ Оптима 157/СО, 300 см, белый",Инвентарн разница,21,034,80002459,"АО ""УЮТ""",-3,,,-3.0
29,825,RDiff_825,RDiff_825-1,80073269,разделочные доски,"Доска разделочная с ручкой Oriental Way GreenWay 9/802, 21х31,5 см",Инвентарн разница,22,180,80000734,"ООО ""Восточный путь""",-1,,,-1.0
30,825,RDiff_825,RDiff_825-1,80073287,посуда из акации,"Салатница Oriental Way GreenWay Тигровая 9/650, D15 см",Инвентарн разница,22,150,80000734,"ООО ""Восточный путь""",-1,,,-1.0
