,БЮ,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,Reason code,ТГ,НГ,Поставщик,Наименование,"Физические 
запасы",Продано,"Зарезерви
ровано",Доступно
0,825,V_825,V-Discount_825,80015745,Подвесные люстры,"Светильник подвесной CITILUX CL936008, чёрный",06Товар поврежденный,25,208,80003102,"ООО ""НАУТИЛУС""",1,,,1.0
1,825,V_825,V-Discount_825,80096615,Напольные,"Вешалка напольная CH-4516, хром/серебряный",06Товар поврежденный,35,026,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,1,,,1.0
2,825,V_825,V-Discount_825,80097392,Гостиный гарнитур,"Тумба ТВ Александрия ЛД 618.010.000, рустика/кожа ленто",06Товар поврежденный,33,014,80000252,"ООО ""Алмаз""",1,,,1.0
3,825,V_825,V-Discount_825,80097396,Шкаф для одежды,"Шкаф 2-створчатый Александрия ЛД 618.050.000, рустика/кожа ленто",06Товар поврежденный,33,077,80000252,"ООО ""Алмаз""",1,,,1.0
4,825,V_825,V-Discount_825,80098406,Шкаф для одежды,"Карниз ЛД 285.010.000, кожа ленто",06Товар поврежденный,33,077,80000252,"ООО ""Алмаз""",2,,,2.0
5,825,V_825,v-Discount_825,80100276,Вешалка комбинированная,"Вешалка комбинированная с зеркалом Марта ЛД 124.110.000, дезира эш/белый",06Товар поврежденный,38,083,80000252,"ООО ""Алмаз""",1,,,1.0
6,825,V_825,V-Discount_825,80257633,Подвесные люстры,"Люстра EUROSVET ""Классика"" 3535/6, хром/белый",06Товар поврежденный,25,208,80000990,"ООО ""ЕВРОСВЕТ""",1,,,1.0
7,825,V_825,V-Discount_825,80257640,Бра,"Бра EUROSVET ""Классика"" 22404/1, белый с золотом",06Товар поврежденный,25,095,80000990,"ООО ""ЕВРОСВЕТ""",1,,,1.0
8,825,V_825,V-Discount_825,80261470,Детский стол,"Ученический стол Осанка 80, клён/серый",06Товар поврежденный,39,217,80002033,"ООО ""ВИТАЛ-ПК""",1,,,1.0
9,825,V_825,V-Discount_825,80262740,Корпус 083,"Корпус шкафа 1-створчатого Марта ЛД 124.010.000М, дезира эш",06Товар поврежденный,38,083,80000252,"ООО ""Алмаз""",1,,,1.0
10,825,V_825,V-Discount_825,80265055,Шкаф навесной глухой,"Шкаф-модуль навесной MD Color 613.01.31, чёрный/белоснежный",06Товар поврежденный,33,315,80000057,"ООО ""Металлдизайн""",1,,,1.0
11,825,V_825,V-Discount_825,80267640,табурет дерево,"Табурет Классика, тёмный орех",06Товар поврежденный,40,313,80002106,"ООО ""Конта""",1,,,1.0
