,БЮ,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,Reason code,ТГ,НГ,Поставщик,Наименование,"Физические 
запасы",Продано,"Зарезерви
ровано",Доступно
0,825,012_825,012_825-01-01-0,80054114,фурнитура 230,"Сушилка для посуды сетчатая, белый (для шкафа 80 см)",001 Товар на реализа,32,230,80000252,"ООО ""Алмаз""",1,,1.0,
1,825,012_825,012_825-01-01-0,80305201,смеситель,"Смеситель stOMEGA Omega 3302у-2, хром",001 Товар на реализа,32,321,80002492,"ООО ""САНТАКОМ""",2,,2.0,
2,825,012_825,012_825-01-01-0,80539384,табурет дерево,"Табурет 9040102000003, натуральный",001 Товар на реализа,40,313,80003331,"ООО ""Профит Вуд Трейд""",3,,3.0,
3,825,012_825,012_825-01-01-1,80304912,сервировочные столики,"Поднос BERKRAFT Panda 800001-B2, 50х30 см",001 Товар на реализа,22,371,80002074,"HomeArts Industrial Co.,Ltd.",1,,1.0,
4,825,012_825,012_825-01-01-1,80324706,Шторы готовые,"Штора MICASA Baudry A90030A-21, темно-синий, 150х280 см, блэкаут, лента",001 Товар на реализа,21,033,80001142,"HANG ZHOU CHINA HOUSE TEXTILE CO.,LTD",2,,2.0,
5,825,012_825,012_825-01-01-1,80369262,фасады 230,"Фасад шкафа 40х96 Эстель 39FH6, айленд силк",001 Товар на реализа,32,230,80002795,"ООО ""МФ Сурская Мебель""",-2,-2.0,,
6,825,012_825,012_825-01-01-1,80423752,контейнеры,"Контейнер для продуктов BERKRAFT Cook&Store G-MA0240A, 380 мл, зелёный",001 Товар на реализа,22,149,80002712,"DnD HOUSEWARES CO., LTD.",1,,1.0,
7,825,012_825,012_825-01-05-0,80066158,Напольные,"Вешалка напольная LILLE CH-4012, чёрный/хром",001 Товар на реализа,35,026,80002678,DIRECTLOWCOST.COM HONG KONG LIMITED,1,,1.0,
8,825,012_825,012_825-01-05-0,80337028,лотки для приборов,"Лоток д/столовых приборов 22508, 30,5х37,5 см, белый",001 Товар на реализа,22,375,80002136,"АО ""Полимербыт""",1,,1.0,
9,825,012_825,012_825-02-01-0,80267631,стол дерево,"Стол Фаворит Де люкс, тёмный орех",001 Товар на реализа,40,092,80002106,"ООО ""Конта""",1,,,1.0
10,825,012_825,012_825-02-01-0,80295577,Компьютерный стол,"Письменный стол СПм-11, правый, дуб Сонома/белый",001 Товар на реализа,39,086,80002085,"ООО ""Сокол-Т""",2,,,2.0
11,825,012_825,012_825-02-01-0,80298385,Письменный стол,"Письменный стол СПм-14, дуб Сонома/белый",001 Товар на реализа,39,086,80002085,"ООО ""Сокол-Т""",1,,,1.0
12,825,012_825,012_825-02-01-0,80331269,стол дерево,"Стол обеденный AIRON, Геометрик/серый сатин/хром (2)",001 Товар на реализа,40,092,80002383,"ООО ""АЙРОН""",1,,,1.0
13,825,012_825,012_825-02-01-0,80532069,Письменный стол,"Письменный стол Flatform MD 708.06/06-06, белый",001 Товар на реализа,39,086,80000057,"ООО ""Металлдизайн""",1,,,1.0
14,825,012_825,012_825-02-01-1,80054114,фурнитура 230,"Сушилка для посуды сетчатая, белый (для шкафа 80 см)",001 Товар на реализа,32,230,80000252,"ООО ""Алмаз""",1,,,1.0
15,825,012_825,012_825-02-01-1,80266291,Тумба для обуви 083,"Тумба Т2 Арт мини, дуб Сонома/лён бежевый/лён коричневый",001 Товар на реализа,38,083,80001105,"ООО ""Торговый Дом ТриЯ""",2,,,2.0
16,825,012_825,012_825-02-01-1,80301324,Комод 60-89 см,"Комод Мартин Т-1, дуб серый крафт/белый глянец",001 Товар на реализа,35,085,80002304,"ООО ""Клинский Мебельный Комбинат""",1,,,1.0
17,825,012_825,012_825-02-01-1,80324524,мойка,"Мойка врезная LAVA Q.1 BASALT, чёрный",001 Товар на реализа,32,325,80003261,"АО ""РЕСПЕКТА""",1,,,1.0
18,825,012_825,012_825-02-01-1,80324527,мойка,"Мойка врезная LAVA Q.1 SCANDIC, серый",001 Товар на реализа,32,325,80003261,"АО ""РЕСПЕКТА""",1,,,1.0
19,825,012_825,012_825-02-01-1,80329678,вытяжка,Вытяжка LEX Mika G 600 Black,001 Товар на реализа,32,065,80002178,"ООО ""Технолэнд""",1,,,1.0
20,825,012_825,012_825-02-01-1,80392956,Тумба для обуви 089,"Тумба для обуви с 3-я секциями Прага, дуб серый крафт/белый крафт",001 Товар на реализа,38,089,80002304,"ООО ""Клинский Мебельный Комбинат""",3,,,3.0
21,825,012_825,012_825-02-01-1,80412365,мойка,"Мойка врезная UKINOX COM580.480 -GT6K -O, нерж. сталь",001 Товар на реализа,32,325,80003033,"ООО ""ЮКИНОКС""",2,,,2.0
22,825,012_825,012_825-02-01-1,80412515,смеситель,"Смеситель UKINOX UM2304 CR, хром",001 Товар на реализа,32,321,80003033,"ООО ""ЮКИНОКС""",1,,,1.0
23,825,012_825,012_825-02-01-1,80430031,фурнитура 230,"Выдвижной ящик шкафа напольного под технику 60 см Hettich InnoTech с доводчиком, белый",001 Товар на реализа,32,230,80002517,"ЗАО ""Евродизайн""",1,,,1.0
24,825,012_825,012_825-02-01-1,80437019,Журнальный стол коллекция,"Журнальный стол Консул НМ 011.67 Х, ясень анкор тёмный (KR)",001 Товар на реализа,33,020,80002766,"ООО ""Сильва""",2,,,2.0
25,825,012_825,012_825-02-01-1,80502524,фасады 230,"Фасад шкафа 40х72 Сиена ЛД 596.030.000, мята (RAL Design RAL 150 60 10)",001 Товар на реализа,32,230,80000252,"ООО ""Алмаз""",5,,5.0,
26,825,012_825,012_825-02-01-1,80525149,стол дерево,"Стол раздвижной Слайд тип 2, чёрный муар/дуб крафт золотой",001 Товар на реализа,40,092,80001105,"ООО ""Торговый Дом ТриЯ""",1,,,1.0
27,825,012_825,012_825-02-01-1,80528345,Письменный стол,"Письменный стол SCANDICA Хортен, дуб натуральный светлый/графит",001 Товар на реализа,39,086,80002228,"ООО ""Мебельград""",1,,1.0,
28,825,012_825,012_825-02-01-2,80054114,фурнитура 230,"Сушилка для посуды сетчатая, белый (для шкафа 80 см)",001 Товар на реализа,32,230,80000252,"ООО ""Алмаз""",1,,,1.0
