,БЮ,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,Reason code,ТГ,НГ,Поставщик,Наименование,"Физические 
запасы",Продано,"Зарезерви
ровано",Доступно
0,825,S_825,S_825-crpt,80386992,Потолочные люстры,"Светильник потолочный FREYA FR5033CL-05W, белый/серый",Выставочный образец,25,127,80002745,"ООО ""Факел""",1,,,1
1,825,S_825,S_825-crpt,80437875,Подвесные люстры,"Светильник потолочный 2221/1, белый",Выставочный образец,25,208,80003358,ИП Кургинян Арарат Ромикович,1,,,1
2,825,S_825,S_825-crpt,80512662,Потолочные LED люстры,"Светильник CITILUX Купер CL72495G0, белый",Выставочный образец,25,340,80003102,"ООО ""НАУТИЛУС""",1,,,1
3,825,S_825,S_825-lght,80015743,Подвесные люстры,"Светильник подвесной CITILUX CL936003, серебряный",Выставочный образец,25,208,80003102,"ООО ""НАУТИЛУС""",1,,,1
4,825,S_825,S_825-lght,80015745,Подвесные люстры,"Светильник подвесной CITILUX CL936008, чёрный",Выставочный образец,25,208,80003102,"ООО ""НАУТИЛУС""",1,,,1
5,825,S_825,S_825-lght,80055610,Поворотные споты,"Светильник настенно-потолоч. CITILUX ""Прованс"" CL511513, старая бронза",Выставочный образец,25,199,80003102,"ООО ""НАУТИЛУС""",1,,,1
6,825,S_825,S_825-lght,80055611,Поворотные споты,"Светильник настенно-потолоч. CITILUX ""Прованс"" CL511523, старая бронза",Выставочный образец,25,199,80003102,"ООО ""НАУТИЛУС""",1,,,1
7,825,S_825,S_825-lght,80058186,Поворотные споты,"Светильник настенный CITILUX Соната CL520311, матовый хром",Выставочный образец,25,199,80003102,"ООО ""НАУТИЛУС""",1,,,1
8,825,S_825,S_825-lght,80058187,Поворотные споты,"Светильник настенно-потолоч. CITILUX Соната CL520511, матовый хром",Выставочный образец,25,199,80003102,"ООО ""НАУТИЛУС""",1,,,1
9,825,S_825,S_825-lght,80102719,Потолочные люстры,"Люстра MW Восторг 242015306, белый с золотом/белый/салатовый",Выставочный образец,25,127,80002547,"ООО ""Штерн""",1,,,1
10,825,S_825,S_825-lght,80260614,Подвесные люстры,"Светильник подвесной CITILUX ""Маркус"" CL123111, хром/венге",Выставочный образец,25,208,80003102,"ООО ""НАУТИЛУС""",1,,,1
11,825,S_825,S_825-lght,80270833,Потолочные люстры,"Люстра VITALUCE Нимфа, белый/золотой",Выставочный образец,25,127,80002062,"ООО ""КСК-электро""",1,,,1
12,825,S_825,S_825-lght,80272679,Подвесные люстры,"Светильник подвесной CITILUX ""Буги"" CL157112, алюминий/хром",Выставочный образец,25,208,80003102,"ООО ""НАУТИЛУС""",1,,,1
13,825,S_825,S_825-lght,80276345,Поворотные споты,"Светильник настенно-потолоч. CITILUX ""Ринг"" CL525510, белый",Выставочный образец,25,199,80003102,"ООО ""НАУТИЛУС""",1,,,1
14,825,S_825,S_825-lght,80276346,Поворотные споты,"Светильник настенно-потолоч. CITILUX ""Ринг"" CL525520, белый",Выставочный образец,25,199,80003102,"ООО ""НАУТИЛУС""",1,,,1
15,825,S_825,S_825-lght,80277582,Бра,"Светильник настенный CITILUX ""Техно"" CL503311, хром",Выставочный образец,25,95,80003102,"ООО ""НАУТИЛУС""",1,,,1
16,825,S_825,S_825-lght,80278093,Картинные подсветки,"Светильник настенный CITILUX Визор CL708108, хром",Выставочный образец,25,95,80003102,"ООО ""НАУТИЛУС""",1,,,1
