Код номенклатуры,Описание товара,Местоположение,Доступно
80393213,Тумба Интро ИЖ.080.07.00.00.00  30х51х38 см  серый,012_825-02-02-1,2
80431290,Комплект полок 50 Оскар 388 БН.104.47.00.000  2 шт.  дуб сонома,012_825-02-03-2,3
80431293,Комплект полок 75 Оскар 388 БН.104.48.00.000  2 шт.  дуб сонома,012_825-02-03-2,1
80344326,Тумба Интро ИЖ.080.01.00.00.00  40х43х45 см  серый,012_825-02-04-1,1
80431289,Комплект полок 50 Оскар 388 БН.104.47.00.000  2 шт.  белый,012_825-02-05-2,3
80275388,Основание матрасное Комфорт БКС  80х195 см  берёза,012_825-02-06-2,2
80378879,Комод 420 с 2 ящиками Лофт  серый крафт,012_825-02-07-1,1
80381539,Комплект полок 400 Лофт  2 шт.  дуб Сонома (для шкафа 2-дв.),012_825-02-07-2,1
10575027,Claim,012_825-03-01-1,1
80428189,Ручка профильная Оскар РN(26) 03.00.320.348 (чм9) х  чёрный матовый,012_825-03-01-1,1
80536920,Ручка-скоба Оскар FS-108 192 (чм) 2в х  чёрный матовый,012_825-03-01-1,7
80452308,Матрас Mimosa  90х200 см,012_825-03-01-2,2
80452316,Матрас Mimosa  160х200 см,012_825-03-01-2,4
80452308,Матрас Mimosa  90х200 см,012_825-03-02-2,2
80524805,Дно кроватное  160х203 см  коричневый,012_825-03-04-1,1
80336886,Тумба прикроватная NEO 411 БН.82.411.00.000  дуб табачный Craft/чёрный,012_825-03-07-1,1
80344331,Тумба Интро ИЖ.080.03.00.00.00  50х48х45 см  белый,012_825-03-07-1,1
80373841,Ящики для белья Оливия НМ 040.39 Х  2 шт.  дуб Сонома/белое дерево (для кровати 160х200 см),012_825-03-07-1,1
80356136,Комод Virginia НМ 011.01  ясень Анкор тёмный (KR)/белый скандинавский,012_825-05-01-1,1
80296404,Основание кроватное 140х200 см  чёрный (КРУ11.100.00.00-01  КМОП.260.9005.07.6С),012_825-06-07-0,1
80302790,Кровать Абель  160х200 см  серо-бежевый (Kiton 05),012_825-06-07-0,1
80349649,Кровать Garda  140х200 см  светло-бежевый (Velutto 17),012_825-06-07-0,1
80520408,Каркас кровати SCANDICA TELMA  160х200 см  капучино (Приорити 233),012_825-06-07-0,1
80524804,Дно кроватное  140х203 см  коричневый,012_825-06-07-0,1
80385236,Кровать Mila КМ140М-06  140х200 см  белый глянцевый (06) (с ПМ),012_825-07-02-0,1
80431281,Корпус шкафа 50 Оскар 388 БН.104.51.00.000  дуб сонома,012_825-07-02-0,1
80431284,Корпус шкафа 75 Оскар 388 БН.104.52.00.000  дуб сонома,012_825-07-02-0,2
80531371,Кровать SOLANA Одри  140х200 см  серо-бежевый (Velutto 08),012_825-07-04-0,1
10575027,Claim,012_825-07-06-0,2
80521269,Дно кроватное  140х203 см  бежевый,012_825-07-06-0,1
80503519,Тумба прикроватная Мила  серый (Balance 996),012_825-15-07-0,1
80437019,Журнальный стол Консул НМ 011.67 Х  ясень анкор тёмный (KR),012_825-02-01-1,1
80510789,Журнальный стол 900 ЛОФТ НМ 68.02.00  венге,012_825-02-02-1,3
80428730,Журнальный стол 500 Лофт  ательер,012_825-02-03-1,1
80335181,Стол Дуглас ИП-601.01.02.01.02  чёрный муар/MOOD,012_825-02-04-1,1
80346761,Приставной стол Rivalli Модерн  дуб Каньон,012_825-02-04-1,3
80510787,Журнальный стол 550 ЛОФТ НМ 68.01.00  дуб сонома,012_825-02-04-1,3
80335196,Стол Дуглас ИП-601.05.02.01.02  чёрный муар/MOOD,012_825-02-04-2,3
80319066,Журнальный стол E II 180402  чёрный,012_825-02-05-1,2
80510783,Приставной стол ЛОФТ НМ 68.03.00  венге,012_825-02-05-1,1
80510785,Журнальный стол 550 ЛОФТ НМ 68.01.00  белый,012_825-02-05-1,2
80510789,Журнальный стол 900 ЛОФТ НМ 68.02.00  венге,012_825-02-05-1,1
80510790,Журнальный стол 900 ЛОФТ НМ 68.02.00  дуб сонома,012_825-02-05-1,1
80428806,Приставной стол Лофт  дуб табачный крафт,012_825-02-06-1,1
80510783,Приставной стол ЛОФТ НМ 68.03.00  венге,012_825-02-06-1,1
80510785,Журнальный стол 550 ЛОФТ НМ 68.01.00  белый,012_825-02-06-1,2
80510789,Журнальный стол 900 ЛОФТ НМ 68.02.00  венге,012_825-02-06-1,1
80428807,Приставной стол Лофт  ательер,012_825-02-06-2,10
80277312,Журнальный стол Flatform Фиеста MD 722.06.11  белый,012_825-02-07-1,1
80428727,Журнальный стол 500 Лофт  дуб сонома,012_825-02-07-1,1
80512383,Журнальный стол Купер  белый поры дерева,012_825-02-07-1,2
80428730,Журнальный стол 500 Лофт  ательер,012_825-03-01-1,1
80522690,Комплект опор Локи-2  4 шт.  чёрный,012_825-03-01-1,2
80375717,Стол-трансформер №3  Atelier,012_825-03-02-1,1
80428791,Журнальный стол 900 Лофт  дуб серый крафт,012_825-03-02-1,2
80334971,Стол-трансформер №3  дуб Сонома,012_825-03-03-1,1
80334973,Стол-трансформер №3  белый,012_825-03-03-1,1
80428791,Журнальный стол 900 Лофт  дуб серый крафт,012_825-03-03-1,1
80510788,Журнальный стол 900 ЛОФТ НМ 68.02.00  белый,012_825-03-04-0,4
80319066,Журнальный стол E II 180402  чёрный,012_825-03-04-1,1
80510790,Журнальный стол 900 ЛОФТ НМ 68.02.00  дуб сонома,012_825-03-05-0,3
80277312,Журнальный стол Flatform Фиеста MD 722.06.11  белый,012_825-03-05-1,1
80341553,Журнальный стол Мартин 12.04  ателье светлое/белый глянец,012_825-03-05-1,1
80412775,Шкаф навесной Point Тип-21 71774436  дуб вотан,012_825-03-05-1,1
80510783,Приставной стол ЛОФТ НМ 68.03.00  венге,012_825-03-05-1,1
80510786,Журнальный стол 550 ЛОФТ НМ 68.01.00  венге,012_825-05-01-1,2
80437016,Журнальный стол Консул НМ 011.67 Х  венге магия,012_825-05-03-1,1
80289278,Журнальный стол Flatform Фиеста MD 751.25.06.460  дымчатый/хром,012_825-05-04-1,2
80428792,Журнальный стол 900 Лофт  дуб табачный крафт,012_825-05-05-1,1
80291768,Журнальный стол Flatform Фиеста MD 721.07.11  дуб Сонома/белый,012_825-06-01-1,2
80510786,Журнальный стол 550 ЛОФТ НМ 68.01.00  венге,012_825-06-01-1,1
80510788,Журнальный стол 900 ЛОФТ НМ 68.02.00  белый,012_825-06-01-1,1
80334973,Стол-трансформер №3  белый,012_825-06-02-1,1
80273480,Зеркало навесное Sherlock 7 БН.38.07.00.000  дуб Сонома,012_825-06-06-0,1
80287395,Зеркало TIFFANY 100 (II)  вудлайн кремовый,012_825-06-06-0,1
80287396,Зеркало TIFFANY 130 (II)  вудлайн кремовый,012_825-06-06-0,2
80287397,Зеркало TIFFANY 50  вудлайн кремовый,012_825-06-06-0,1
80296363,Шкаф для белья правый Sherlock 81 БН.38.81.00.000  орех шоколадный,012_825-07-03-0,1
80296367,Шкаф для посуды правый Sherlock 131 БН.38.131.00.000  орех шоколадный,012_825-07-03-0,1
80515353,Полка навесная Марсель 00-00105492  белый/дуб венге,012_825-07-04-0,1
80515355,Пенал-витрина Марсель 00-0010549  белый/белый глянец/венге,012_825-07-04-0,1
80358767,Тумба TIFFANY 2V1D3S  орех элия тёмный,012_825-07-06-0,1
80515344,Тумба для ТВ Марсель 00-00105494  белый/белый глянец/венге,012_825-07-06-0,1
80515356,Шкаф-витрина Марсель 00-00105498  белый/белый глянец/венге,012_825-07-06-0,1
10575035,Claim,012_825-03-01-1,4
80323643,Матрас для дивана MILDEX Breeze  80х200 см,012_825-03-01-2,4
80323653,Матрас для дивана MILDEX Sunrise  160х200 см,012_825-03-01-2,1
80452234,Пуф-глайдер Р  светло-серый (Lunar ash),012_825-05-05-1,1
80538143,Диван-кровать Камил П3МД  темно-серый (Vegas 965)/бежевый (Vegas 115),012_825-05-07-0,1
80316759,Кресло Патрик ТК 83  тёмно-коричневый (Берген Шоколад),012_825-06-01-0,1
80341568,Кресло Людвиг ТК 48/1  бледно-розовый (Velutto/Supreme 11)/коричневый (Поларис Браун),012_825-06-01-0,1
80316769,Пуф Бертран ТП 71/1  бежевый (Velutto/Supreme 18),012_825-08-06-0,2
80316774,Пуф Бертран ТП 76  пурпурные пионы (Флер),012_825-08-06-0,1
80337231,Пуф Грейс  песочный (Verona 24 Sand)/венге структура,012_825-08-06-0,2
80337233,Пуф Грейс  коричневый (Verona 84 Grey Brown)/венге структура,012_825-08-06-0,1
80337235,Пуф Грейс  коричневый титан (Torino Stone)/венге структура,012_825-08-06-0,2
80337236,Пуф Грейс  коричневый титан (Torino Stone)/берёза белая,012_825-08-06-0,2
80367018,Пуф Бертран ТП 95  латте (Simple 5),012_825-08-06-0,1
80367020,Пуф Бертран ТП 97  горчичный (Simple 15),012_825-08-06-0,2
80367014,Пуф Бертран ТП 91  серый (Simple 27),012_825-08-07-0,1
80443607,Кресло Людвиг 047.1  бежевый (Velutto/Supreme 18)/коричневый (Поларис Браун),012_825-11-08-0,1
80529952,Диван-кровать Комо 062.1  кофейный (Модерно 04),012_825-11-08-0,1
10574996,Claim,012_825-03-01-1,1
80526124,Шкаф-купе 2-дв. Регата-2  винтерберг/белый,012_825-06-07-0,1
80341058,Набор колёс Romack Möbel 1100  2 шт.  чёрный (для Bambini),012_825-07-02-0,2
80341058,Набор колёс Romack Möbel 1100  2 шт.  чёрный (для Bambini),012_825-07-02-0,1
80514581,Кровать Ультра  80(160)х200 см  белый,012_825-07-04-0,1
80380673,Смеситель для раковины ORANGE Aristo M19-021b  чёрный,012_825-02-01-2,1
80353186,Зеркало с полкой Норд 60  белый матовый/чёрный муар,012_825-02-07-2,1
80363145,Зеркальный шкаф универсальный с полками Sanstar 60 219.1-2.4.1.  белый глянец,012_825-05-06-1,1
