,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,ТГ,"Зарезерви
ровано",Доступно
0,011_825,011_825-01-01-0,80309816,стул кожзам,"Стул с подлокотниками Amelia СРП-018К, коричневый (экотекс 3029)/зеркальный хром/орех",40,4.0,5.0
1,011_825,011_825-01-01-0,80345261,стул кожзам,"Стул с подлокотниками Amelia СРП-018К, чёрный (экотекс 3001)/чёрный/орех",40,,20.0
2,011_825,011_825-01-01-1,80291018,складной табурет,"Табурет Mary СРП-013, бежевый (классик 427)/серый",40,,10.0
3,011_825,011_825-01-01-1,80291020,складной стул_233,"Стул Betty СРП-084, белый (классик 550)/серый",40,,2.0
4,011_825,011_825-01-01-1,80325025,стул кожзам,"Стул Ontario СРП-048 тн, чёрный (экотекс 3001)/зеркальный хром",40,,4.0
5,011_825,011_825-01-01-1,80358903,стул ткань,"Стул Sabina СРП-048 тн, бирюзовый (велюр 22)/чёрный",40,,4.0
6,011_825,011_825-01-01-1,80397355,стул кожзам,"Стул Lina СРП-009, серый (экотекс 3022)/зеркальный хром",40,,8.0
7,011_825,011_825-01-01-1,80397359,стул кожзам,"Стул Lina СРП-009, жёлтый (экотекс 3099)/зеркальный хром",40,,4.0
8,011_825,011_825-01-01-1,80405987,табурет металл,"Табурет Лофт-К СРП-904, белый (экотекс 3002)/муар чёрный",40,,2.0
9,011_825,011_825-01-02-0,80309815,стул кожзам,"Стул с подлокотниками Amelia СРП-018К, бежевый (экотекс 3027)/зеркальный хром/орех",40,,11.0
10,011_825,011_825-01-02-0,80325028,стул кожзам,"Стул Ontario СРП-048 тн, серый (экотекс 3022)/зеркальный хром",40,,2.0
11,011_825,011_825-01-02-0,80332091,стул кожзам,"Стул с подлокотниками Amelia СРП-018К, белый (экотекс 3002)/зеркальный хром/орех",40,,6.0
12,011_825,011_825-01-02-0,80431278,стул ткань,"Стул Ontario СРП-048 тн, синий (Maseratti 17)/белый матовый",40,,4.0
13,011_825,011_825-01-02-1,80312251,стул кожзам,"Стул Milton СРП-007, шоколадный (ТНВ-9)/зеркальный хром",40,,8.0
14,011_825,011_825-01-02-1,80397351,стул кожзам,"Стул Lina СРП-009, чёрный (экотекс 3001)/зеркальный хром",40,,8.0
15,011_825,011_825-01-02-1,80397352,стул кожзам,"Стул Lina СРП-009, кремовый (экотекс 3014)/зеркальный хром",40,,4.0
16,011_825,011_825-01-02-1,80397353,стул кожзам,"Стул Lina СРП-009, коричневый (экотекс 3029)/зеркальный хром",40,,2.0
17,011_825,011_825-01-02-1,80397358,стул кожзам,"Стул Lina СРП-009, белый (экотекс 3002)/зеркальный хром",40,,8.0
18,011_825,011_825-01-02-2,80332090,барный табурет,"Табурет барный Rumba СРП-020-01, чёрный (экотекс 3001)/чёрный",40,,4.0
19,011_825,011_825-01-02-2,80338936,стул кожзам,"Стул Lucy СРП-189, серый (экотекс 3022)/зеркальный хром",40,,3.0
20,011_825,011_825-01-02-2,80338937,стул кожзам,"Стул Lucy СРП-189, бежевый (экотекс 3014)/зеркальный хром",40,,5.0
21,011_825,011_825-01-03-0,80320914,стул кожзам,"Стул Ontario СРП-048 тн, белый (3002)/зеркальный хром",40,,4.0
22,011_825,011_825-01-03-0,80322643,барный стул,"Стул Rumba СРП-020-04, бежевый (экотекс 3027)/серый (Бриллиант)",40,,1.0
