,Склад,Местоположение,"Код 
номенклатуры",Описание товара,ТГ,"Зарезерви
ровано",Доступно
0,012_825,012_825-01-01-0,80348446,"Стол Краст-02 МСТ-УСК-02-КС-АЦ-02, дуб крафт серый/антрацит",39,,1.0
1,012_825,012_825-01-01-0,80355570,"Диван-кровать DREAMART Престон, светло-серый (Lunar Ash)/серо-бежевый (Ultra Dove)",34,1.0,
2,012_825,012_825-01-01-0,80355572,"Диван-кровать DREAMART Престон, синий (Lunar Navy)/синий (Ultra Midnight)",34,1.0,
3,012_825,012_825-01-01-3,80091070,"Набор бокалов для белого вина Pasabahce Энотека 44728, 440 мл, 6 шт.",22,,1.0
4,012_825,012_825-01-01-3,80273062,"Тарелка Pasabahce ""Аврора"" 10499, D31,5 см",22,,6.0
5,012_825,012_825-01-01-3,80291164,"Набор посуды VANHOPPER Norridge QF-17, 10 предм.",22,,4.0
6,012_825,012_825-01-01-3,80291165,"Набор посуды VANHOPPER Edinburg LNK43, 8 предм.",22,,2.0
7,012_825,012_825-01-01-3,80291787,"Набор фужеров д/шампанского Schott Zwiesel Taste 115 674-6, 283 мл, 6 шт.",22,,1.0
8,012_825,012_825-01-01-3,80298481,"Набор бокалов д/вина Bohemia Crystal Виола 40729/22/550, 550 мл, 6 шт.",22,,1.0
9,012_825,012_825-01-01-3,80298482,"Набор стаканов д/виски Bohemia Crystal Клаб 25180/22/300, 300 мл, 6 шт.",22,,2.0
10,012_825,012_825-01-01-3,80310386,"Набор стаканов д/виски Pasabahce ""Триумф"" 41620, 320 мл, 6 шт.",22,,2.0
11,012_825,012_825-01-01-3,80310387,"Набор стаканов Pasabahce ""Триумф"" 41630, 300 мл, 6 шт.",22,,1.0
12,012_825,012_825-01-01-3,80322948,"Кастрюля с крышкой MITTE Basic BG-9012A-20, 3 л",22,,8.0
13,012_825,012_825-01-01-3,80324109,"Кастрюля с крышкой MITTE Basic BG-9012A-26, 6,3 л",22,,6.0
14,012_825,012_825-01-01-3,80328179,"Набор бокалов д/шампанского Bohemia Crystal Виола 40729/M8441/190-2, 190 мл, 2 шт., золотая спираль",22,,4.0
15,012_825,012_825-01-01-3,80328187,"Набор бокалов д/шампанского Bohemia Crystal Виола 40729/22/190, 190 мл, 6 шт.",22,,4.0
