,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,ТГ,"Зарезерви
ровано",Доступно
0,A11_825,A11_825_BEDDIG,80296463,Покрывала 2 спальные,"Плед MICASA Zigzag RG-5279, 200х220 см, коричневый",11,,1.0
1,A11_825,A11_825_BEDDIG,80310431,КПБ 2 спальные,"КПБ 2 сп. ESTUDI BLANCO HY-2601-2 (нав.50х70см-2шт., 70х70см-2шт.), синий",11,,1.0
2,A11_825,A11_825_BEDDIG,80310435,КПБ евро,"КПБ Евро ESTUDI BLANCO HY-2602-3 (нав.50х70см-2шт., 70х70см-2шт.), золотой",11,,1.0
3,A11_825,A11_825_BEDDIG,80318708,КПБ 2 спальные,"КПБ 2 сп. ESTUDI BLANCO HY-3002-2 (нав.50х70см-2шт., 70х70см-2шт.), жемчужно-белый",11,,1.0
4,A11_825,A11_825_BEDDIG,80318714,КПБ 2 спальные,"КПБ 2 сп. ESTUDI BLANCO HY-3004-2 (нав.50х70см-2шт., 70х70см-2шт.), золотой",11,,1.0
5,A11_825,A11_825_BEDDIG,80329760,"Пледы 1,5 спальные","Плед MICASA Lanado FEMB, 140х200 см, коричневый",11,,1.0
6,A11_825,A11_825_BEDDIG,80331150,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Darsia 582/0032952/2043 (нав.50(70)х70см-2шт.), белый",11,,1.0
7,A11_825,A11_825_BEDDIG,80337550,"КПБ 1,5 спальные","КПБ 1,5 сп MICASA Albar м102.20.04 (нав.50х70см-2шт.), белый (5000)",11,,1.0
8,A11_825,A11_825_BEDDIG,80337726,КПБ евро,"КПБ Евро DELUNA Chiara 19070224 (нав. 50х70 см - 2 шт., 70х70 см - 2 шт.), синий/сиреневый/белый",11,,1.0
9,A11_825,A11_825_BEDDIG,80340396,Наволочки 50х70,"Комплект наволочек ESTUDI BLANCO 725/0031668/2256, 50х70 см, 2 шт., тёмно-синий",11,,1.0
10,A11_825,A11_825_BEDDIG,80340400,Пододеяльники евро,"Пододеяльник Евро ESTUDI BLANCO 954/0031668/2256, 200х220 см, тёмно-синий",11,,1.0
11,A11_825,A11_825_BEDDIG,80347057,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Alvaro 20011765 (нав. 50х70 см - 2 шт.), бежевый/коричневый",11,,1.0
12,A11_825,A11_825_BEDDIG,80348232,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Elke 66175 (нав. 50х70см-2 шт.)",11,,1.0
13,A11_825,A11_825_BEDDIG,80364489,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Luis 20091437 (нав. 50х70 см - 2 шт.), светло-серый/тёмно-серый",11,,1.0
14,A11_825,A11_825_BEDDIG,80364529,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Vitor 20091477 (нав. 50х70 см - 2 шт.), голубой/светло-жёлтый/белый",11,,1.0
15,A11_825,A11_825_BEDDIG,80364533,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Demi 20091481 (нав. 50х70 см - 2 шт.), тёмно-зелёный/бежевый",11,,1.0
16,A11_825,A11_825_BEDDIG,80364549,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Nolla 20091497 (нав. 50х70 см - 2 шт.), жёлтый/тёмно-серый",11,,1.0
17,A11_825,A11_825_BEDDIG,80364561,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Jose 20091509 (нав. 50х70 см - 2 шт.), тёмно-серый/жёлтый",11,,1.0
18,A11_825,A11_825_BEDDIG,80364565,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Freja 20091513 (нав. 50х70 см - 2 шт.), розовый/тёмно-серый",11,,1.0
19,A11_825,A11_825_BEDDIG,80364585,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Ellen 20091533 (нав. 50х70 см - 2 шт.), голубой/светло-персиковый",11,,1.0
20,A11_825,A11_825_BEDDIG,80364597,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Ada 20091545 (нав. 50х70 см - 2 шт.), белый/тёмно-серый",11,,1.0
21,A11_825,A11_825_BEDDIG,80366170,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Estela 582/0032952/2870, (нав. 50(70)х70 см-2 шт.), тёмно-розовый",11,,1.0
22,A11_825,A11_825_BEDDIG,80366174,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Agustín 582/0032952/2872, (нав. 50(70)х70 см-2 шт.), синий",11,,1.0
23,A11_825,A11_825_BEDDIG,80366179,Наволочки 70х70,"Комплект наволочек ESTUDI BLANCO 727/0031668/2869, 70х70 см, 2 шт., молочный",11,,1.0
24,A11_825,A11_825_BEDDIG,80366182,Пододеяльники евро,"Пододеяльник Евро ESTUDI BLANCO 954/0031668/2869, 200х220 см, молочный",11,,1.0
25,A11_825,A11_825_BEDDIG,80366184,Простыни 2 спальные,"Простыня ESTUDI BLANCO 904/0031668/2869, 200х220 см, молочный",11,,1.0
26,A11_825,A11_825_BEDDIG,80368444,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Gustavo м102.12.04 (нав. 50х70 см-2 шт.), коричневый (4623-1+4623а-1)",11,,1.0
27,A11_825,A11_825_BEDDIG,80368455,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Donatella м102.21.04 (нав. 50х70 см-2 шт.), персиковый (4627-1+4627а-1)",11,,1.0
28,A11_825,A11_825_BEDDIG,80370891,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Narde м102.18.04 (нав. 50х70см-2 шт.), лавандовый (4641-1)",11,,1.0
29,A11_825,A11_825_BEDDIG,80370894,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Grau м102.18.04 (нав. 50х70см-2 шт.), серый (4640-1)",11,,1.0
30,A11_825,A11_825_BEDDIG,80370897,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Klara м102.17.04 (нав. 50х70см-2 шт.), коричневый (4640-1)",11,,1.0
31,A11_825,A11_825_BEDDIG,80370900,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Swen м102.17.04 (нав. 50х70см-2 шт.), белый (4640-1)",11,,1.0
32,A11_825,A11_825_BEDDIG,80370907,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Natal м102.21.04 (нав. 50х70см-2 шт.), зелёный (4625-1+4625а-1)",11,,1.0
33,A11_825,A11_825_BEDDIG,80370911,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Marcos м102.21.04 (нав. 50х70см-2 шт.), бежевый (4630-1+4630а-1)",11,,1.0
34,A11_825,A11_825_BEDDIG,80373885,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Anika м102.17.04 (нав. 50х70см-2 шт.), серый",11,,1.0
35,A11_825,A11_825_BEDDIG,80374713,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Nicoleo 570/0031667*/2901 (нав. 50(70)х70 см-2 шт.), синий",11,,1.0
36,A11_825,A11_825_BEDDIG,80374717,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Tadeo 570/0031667*/2903 (нав. 50(70)х70 см-2 шт.), серый",11,,1.0
37,A11_825,A11_825_BEDDIG,80383373,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Selena 228532 (нав. 50х70 см -  2 шт.), серо-бирюзовый",11,,1.0
38,A11_825,A11_825_BEDDIG,80384438,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Cafio м102.20.04 (нав. 50х70см-2 шт.), кофейный (4666-1)",11,,1.0
39,A11_825,A11_825_BEDDIG,80389380,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Vanille м102.18.04 (нав. 50х70см-2 шт.), кремовый (4671-1)",11,,1.0
40,A11_825,A11_825_BEDDIG,80389383,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Schnee м102.18.04 (нав. 50х70см-2 шт.), белый",11,,1.0
41,A11_825,A11_825_BEDDIG,80394285,КПБ Тинейджеры,"КПБ 1,5 сп. MICASA Teenagers Corgi м112.21.04, белый/оранжевый (4672-1)",11,,1.0
42,A11_825,A11_825_BEDDIG,80394288,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Betania м102.21.04 (нав. 50х70см-2 шт.), синий (4667-1)",11,,1.0
43,A11_825,A11_825_BEDDIG,80394292,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Nivia м102.21.04 (нав. 50х70см-2 шт.), розовый (4665-1)",11,,1.0
44,A11_825,A11_825_BEDDIG,80394412,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Chosto 232860 (нав. 50х70 см - 2 шт.), серый",11,,1.0
45,A11_825,A11_825_BEDDIG,80394420,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Valisia 229319 (нав. 50х70 см - 2 шт.), жёлтый/синий",11,,1.0
