,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,ТГ,"Физические 
запасы","Зарезерви
ровано",Доступно
0,RDiff_825,RDiff_825-1,80007607,кружки,"Кружка ""Эфиопия поэзия"" CN1419, 350 мл, в асс.",22,8.0,,8
1,RDiff_825,RDiff_825-1,80018232,Вазы настольные,"Ваза-цилиндр ""Трубка 107"" 2022, H20 см",27,6.0,,6
2,RDiff_825,RDiff_825-1,80018233,Вазы настольные,"Ваза-цилиндр ""Трубка 107"" 2025, H35 см",27,-1.0,,-1
3,RDiff_825,RDiff_825-1,80018252,Вазы настольные,"Ваза для роз ""Фестиво"" 2363, H30 см",27,-3.0,,-3
4,RDiff_825,RDiff_825-1,80021667,салфетки ПВХ,"Декор. подставка под горячее  ""Цветы"" 29х43см",22,-1.0,,-1
5,RDiff_825,RDiff_825-1,80043386,хранение вещей,"Ящик с крышкой и клапаном Darel plastic ЯФ0156, 56 л, в асс.",28,9.0,,9
6,RDiff_825,RDiff_825-1,80054113,фурнитура 230,"Сушилка для посуды сетчатая, белый (для шкафа 60 см)",32,-1.0,,-1
7,RDiff_825,RDiff_825-1,80055601,Потолочные люстры,"Светильник потолочный CITILUX ""Оскар"" CL127141, венге/хром",25,-1.0,,-1
8,RDiff_825,RDiff_825-1,80058186,Поворотные споты,"Светильник настенный CITILUX Соната CL520311, матовый хром",25,-1.0,,-1
9,RDiff_825,RDiff_825-1,80066162,Напольные,"Вешалка напольная POWER CH-4217-SL, серебряный",35,-1.0,,-1
10,RDiff_825,RDiff_825-1,80066170,Напольные,"Вешалка напольная TITAN CH-4019-WT, белый",35,-2.0,,-2
11,RDiff_825,RDiff_825-1,80071765,шины в наборе,"Карниз 2-рядный УЮТ Оптима 157/О, 200 см, белый",21,3.0,,3
12,RDiff_825,RDiff_825-1,80071767,шины в наборе,"Карниз 2-рядный составной УЮТ Оптима 157/СО, 300 см, белый",21,3.0,,3
13,RDiff_825,RDiff_825-1,80073968,сковороды антипр. покрытие,"Сковорода SCOVO Prosto СЭ-061, D24 см, бордовый",22,-13.0,,-13
14,RDiff_825,RDiff_825-1,80089779,Отд.ст. стаканчики,Стакан д/зуб. щёток Duschy Mosaik 361-02,20,-1.0,,-1
15,RDiff_825,RDiff_825-1,80091898,Цветы искусственные срезка,"8J-13RS0012 Иск. растение ""Алиум"" H78см, кремовый",27,-2.0,,-2
16,RDiff_825,RDiff_825-1,80101284,хранение вещей,"Ящик универс. econova Кристалл 12814 4312815, 34 л",28,4.0,,4
17,RDiff_825,RDiff_825-1,80101285,хранение вещей,Ящик универс. econova Кристалл L 12658 4312658,28,4.0,,4
18,RDiff_825,RDiff_825-1,80101586,вешалки деревянные,"Набор вешалок д/одежды BERKRAFT Nature MC011B-6, 44,5 см, 6 шт., бежевый",28,-3.0,,-3
19,RDiff_825,RDiff_825-1,80102602,Подушки 70х70,"МПЖН10-5 Подушка KARIGUZ ""Для Женщин"" 68х68 см, белый",11,-5.0,,-5
20,RDiff_825,RDiff_825-1,80258954,Потолочные люстры,"Люстра CITILUX Самба CL158131, белый/хром",25,-1.0,,-1
21,RDiff_825,RDiff_825-1,80259255,однотон,"Ковёр SHAGGY ULTRA s600, 80x150 см, бежевый",24,-1.0,,-1
22,RDiff_825,RDiff_825-1,80262319,"доска глад, акс для глажки","Чехол д/гладильной доски Prisma, 125х43 см",28,1.0,,1
23,RDiff_825,RDiff_825-1,80262522,рулонные шторы готовые,"Рулонная штора ""УЮТ"" ""Плайн"" 7523, 40х175 см, сливочный",21,-1.0,,-1
24,RDiff_825,RDiff_825-1,80263336,"доска глад, акс для глажки","Глад. доска periLLa Europa CAPITOL 211101, 120х38 см, белый/в асс., с удлинителем",28,-2.0,,-2
25,RDiff_825,RDiff_825-1,80265651,Наст. лампы - офисные,"Лампа настольная на струбцине ""ТРАНСВИТ"" ""Бета"" НДБ37-60-013, белый",25,1.0,,1
26,RDiff_825,RDiff_825-1,80270439,аксесс для уб в доме,"Таз SVIP ""Ориджинал"" SV3940, 10 л, в асс.",28,7.0,,7
27,RDiff_825,RDiff_825-1,80270448,"Рамки, фоторамки","Фоторамка Gallery 679263-А2, 42х59,4 см, белый, серебряный",23,1.0,,1
28,RDiff_825,RDiff_825-1,80270833,Потолочные люстры,"Люстра VITALUCE Нимфа, белый/золотой",25,-1.0,,-1
29,RDiff_825,RDiff_825-1,80271378,сковороды антипр. покрытие,"Сковорода BERKRAFT MILFORD 704301-24, D24 см, чёрный",22,-22.0,,-22
30,RDiff_825,RDiff_825-1,80271379,сковороды антипр. покрытие,"Сковорода BERKRAFT MILFORD 704301-28, D28 см, чёрный",22,-13.0,,-14
31,RDiff_825,RDiff_825-1,80273541,быт хим для стир бел,"Отбеливатель д/белья и поверхностей SYNERGETIC, 1 л",28,-1.0,,-1
32,RDiff_825,RDiff_825-1,80273545,быт хим для дома,"Средство д/мытья пола, стен, поверхностей SYNERGETIC, 1 л",28,3.0,,3
33,RDiff_825,RDiff_825-1,80273554,стул кожзам,"Стул TOLEDO TC-1002DS, бордовый/серебряный",40,-1.0,,-1
34,RDiff_825,RDiff_825-1,80275442,"Рамки, фоторамки","Фоторамка Gallery 636421-8, 20х30 см, серебряный",23,-1.0,,-1
35,RDiff_825,RDiff_825-1,80276842,Подушки 70х70,"Подушка MONA LIZA 529322, 70х70 см",11,1.0,,1
36,RDiff_825,RDiff_825-1,80277517,Декор. фигуры настольные,"Статуэтка ""Женщина"" в позе лотоса C6128, H28 см, чёрный",27,-1.0,,-1
37,RDiff_825,RDiff_825-1,80278137,френч-прессы.,"Френч-пресс BERKRAFT Classic 321500-600ML, 600 мл",22,-24.0,,-24
38,RDiff_825,RDiff_825-1,80279692,Часы,"Часы настенные 6501, D30,2 см, белый",23,-10.0,,-10
39,RDiff_825,RDiff_825-1,80283684,сковороды гриль,"Сковорода-гриль BERKRAFT Westa 704213-28, 28х28 см, чёрный",22,-35.0,,-35
40,RDiff_825,RDiff_825-1,80284327,планка,"Планка торцевая универсальная, H2,8 см",32,-2.0,,-2
41,RDiff_825,RDiff_825-1,80286146,стол дерево,"Стол обеденный Премьера НМ.64.03.00, пикард/черный фон",40,-2.0,,-2
42,RDiff_825,RDiff_825-1,80288474,френч-прессы.,"Френч-пресс BERKRAFT Great 321134-1000, 1 л",22,-4.0,,-4
43,RDiff_825,RDiff_825-1,80288602,наборы,"Набор бокалов д/шампанского Pasabahce Enoteca 44688, 175 мл, 6 шт.",22,-1.0,,-1
44,RDiff_825,RDiff_825-1,80288604,наборы ножей,"Набор ножей BERKRAFT Kitchen 2015-127, 3 шт., чёрный/белый",22,4.0,,4
