,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,ТГ,"Зарезерви
ровано",Доступно
0,V_825,V-Discount_825,80015745,Подвесные люстры,"Светильник подвесной CITILUX CL936008, чёрный",25,,1.0
1,V_825,V-Discount_825,80088934,Комод от 120 см,"Комод НК-4, дуб Сонома",35,,1.0
2,V_825,V-Discount_825,80098665,Письменный стол,"Письменный стол QUADRO TCD-1301, белый глянцевый/хром",39,,1.0
3,V_825,V-Discount_825,80269494,Шкаф 083,"Шкаф для одежды Прованс ПМ-223.02.00.000, дуб Сонома трюфель/крем (ТД-223.07.22, ТД-223.07.12R, ТД-223.07.12L)",38,,1.0
4,V_825,V-Discount_825,80271379,сковороды антипр. покрытие,"Сковорода BERKRAFT MILFORD 704301-28, D28 см, чёрный",22,1.0,9.0
5,V_825,V-Discount_825,80273444,Подвесное кресло,"Шезлонг подвесной DREAM 0917, чёрный (LD3055)/бежевый (A13809)",30,,1.0
6,V_825,V-Discount_825,80273550,стул кожзам,"Стул TOLEDO TC-1002DS, чёрный",40,,1.0
7,V_825,V-Discount_825,80273552,стул кожзам,"Стул TOLEDO TC-1002DS, кремовый/серебряный",40,,1.0
8,V_825,V-Discount_825,80273554,стул кожзам,"Стул TOLEDO TC-1002DS, бордовый/серебряный",40,,1.0
9,V_825,V-Discount_825,80281632,Кресло кожзам_227,"Кресло рабочее LINCOLN CYES02-H, коричневый (HP-0026)",39,,1.0
10,V_825,V-Discount_825,80281814,бак для мусора металл,"Бак д/мусора с крышкой BERKRAFT Optima LB-601L, 3 л (глянцевый)",28,,1.0
11,V_825,V-Discount_825,80281964,Основание,"Основание матрасное Комфорт 2.1Т, 140х200 см, берёза",31,,1.0
12,V_825,V-Discount_825,80284511,Костюмные,"Вешалка напольная с подставкой для сумок ANYDAY BLUES VBLS-1т, темный бук",35,,1.0
13,V_825,V-Discount_825,80290427,наборы столовых приборов,"Набор столовых приборов BERKRAFT Lugano, на 6 персон, 24 предм., серебряный",22,,1.0
14,V_825,V-Discount_825,80291156,стол-книжка,"Стол трансформируемый Премьера НМ.64.12.00, пикард/чёрный фон",40,,1.0
